title,city,county,from,to
Beaver City Press, Beaver City, Beaver, 1908-01, 1928-03
Beaver Co. News,, Beaver, 1916-05, 1928-04
Milford News, Milford, Beaver, 1928-04, 1946-08
Southern Utonian,, Beaver, 1881-09, 1896-01
Box Elder News,, Box Elder, 1904-01, 1926-12
Brigham City Bugler, Brigham City, Box Elder, 1891-05, 1895-04
Corinne Reporter, Corrine, Box Elder, 1871-07, 1873-11
Garland City Globe, Garland City, Box Elder, 1906-02, 1919-09
Logan Republican, Logan, Cache, 1902-09, 1921-12
Utah/Logan Journal, Logan, Cache, 1879-10, 1898-03
Carbon County News,, Carbon, 1908-12, 1915-04
Eastern Utah Advocate,, Carbon, 1897-02, 1916-01
Eastern Utah Telegraph,, Carbon, 1891-01, 1892-01
News-Advocate,, Carbon, 1915-05, 1932-12
The Sun,, Carbon, 1915-06, 1921-01
Davis County Clipper,, Davis, 1892-03, 1988-04
Myton Free Press, Myton, Duchesne, 1915-04, 1925-05
Roosevelt Standard, Roosevelt, Duchesne, 1914-08, 1965-12
Other Duschesne Co. papers,, Duchesne, 1909-05, 1967-07
Emery County Progress,, Emery, 1900-09, 1910-07
Green River Journal, Green River, Emery, 1955-07, 1956-03
Garfield Co. News,, Garfield, 1923-05, 2005-03
Panguitch Progress, Panguitch, Garfield, 1913-05, 1919-08
Grand Valley Times,, Grand, 1896-05, 1919-08
Times Independent,, Grand, 1919-09, 1978-12
Iron County Record,, Iron, 1890-12, 1965-12
Parowan Times, Parowan, Iron, 1915-10, 1945-12
Eureka Reporter, Eureka, Juab, 1902-11, 1922-12
Kane County Independent,, Kane, 1912-04, 1912-11
Kane County Standard,, Kane, 1929-06, 1950-12
Millard County Chronicle,, Millard, 1914-01, 1947-12
Millard County Progress,, Millard, 1894-01, 1939-12
Topaz Times, Topaz, Millard, 1942-05, 1945-08
Morgan County News,, Morgan, 1910-04, 1954-12
Marysvale Free Lance, Marysvale, Piute, 1902-09, 1904-07
Piute Chieftain,, Piute, 1916-04, 1919-03
Piute County News,, Piute, 1924-10, 1949-02
Rich Co. News,, Rich, 1896-05, 1945-12
American Eagle,, Salt Lake, 1897-05, 1905-02
Broad Ax,, Salt Lake, 1895-08, 1899-06
Deseret Farmer,, Salt Lake, 1908-07, 1909-07
Deseret News, Salt Lake City, Salt Lake, 1850-06, 1910-12
"Goodwins Weekly",, Salt Lake, 1902-05, 1919-06
Intermountain Catholic,, Salt Lake, 1899-10, 1910-12
Intermountain Farmer,, Salt Lake, 1902-02, 1903-01
Intermountain Republican,, Salt Lake, 1906-02, 1909-04
Mountaineer,, Salt Lake, 1859-08, 1861-07
Murray Eagle, Murray, Salt Lake, 1927-01, 1960-09
Salt Lake Community College,, Salt Lake, 1959-12, 2010-06
Salt Lake Democrat, Salt Lake City, Salt Lake, 1885-03, 1887-07
Salt Lake Herald, Salt Lake City, Salt Lake, 1870-06, 1920-07
Salt Lake Mining Review, Salt Lake City, Salt Lake, 1899-04, 1929-03
Salt Lake Telegram, Salt Lake City, Salt Lake, 1902-01, 1952-08
Salt Lake Tribune, Salt Lake City, Salt Lake, 1871-04, 1919-12
The Truth, Salt Lake City, Salt Lake, 1905-01, 1908-11
Union Vedette, Salt Lake City, Salt Lake, 1863-11, 1867-11
University of Utah Chronicle, Salt Lake City, Salt Lake, 1892-12, 1963-10
Utah Independent,, Salt Lake, 1908-11, 1911-08
Valley Tan,, Salt Lake, 1858-11, 1860-02
Western Light,, Salt Lake, 1914-05, 1914-05
San Juan Record,, San Juan, 1919-02, 1953-12
Ephraim Enterprise,, Sanpete, 1891-09, 1972-12
Gunnison Gazete, Gunnison, Sanpete, 1909-01, 1935-12
Valley News, Gunnison, Sanpete, 1909-01, 1935-12
Manti Messenger, Manti, Sanpete, 1893-08, 1973-12
Mt. Pleasant Pyramid, Mt. Pleasant, Sanpete, 1912-01, 1950-03
Richfield Reaper, Richfield, Sevier, 1906-03, 1940-12
Coalville Times, Coalville, Summit, 1894-07, 1908-06
Park Record, Park City, Summit, 1881-01, 1981-11
Mercur Miner, Mercur, Tooele, 1904-01, 1908-02
Tooele County Chronicle, Tooele, Tooele, 1947-06, 1948-12
Tooele Transcript-Bulletin, Tooele, Tooele, 1894-09, 1924-12
Uintah Papoose,, Uintah, 1891-01, 1892-02
Vernal Express, Vernal, Uintah, 1892-02, 1983-12
American Fork Citizen, American Fork, Utah, 1906-08, 1922-12
Evening Dispatch, Provo, Utah, 1891-01, 1895-12
Lehi Banner and Sun, Lehi, Utah, 1891-06, 1923-07
Provo Daily Enquirer, Provo, Utah, 1881-01, 1897-11
Spanish Fork Herald, Spanish Fork, Utah, 1895-07, 1910-12
Springville Herald, Springville, Utah, 1924-02, 1957-07
Utah County Democrat, Provo, Utah, 1898-08, 1908-12
Wasatch Wave,, Wasatch, 1889-03, 1922-12
The Union,, Washington, 1878-06, 1896-12
Washington County News,, Washington, 1908-01, 1945-12
Ogden Junction, Ogden, Weber, 1879-01, 1881-02
Ogden Herald, Ogden, Weber, 1881-05, 1887-12
Ogden Standard, Ogden, Weber, 1888-01, 1927-12